jurisdiction,product_category,product_subtype,ingredient_lookup_kind,ingredient_lookup_value,rule_type,max_value,max_unit,basis,condition_text,exceptions_text,source_title,source_url,source_clause,effective_from,effective_to,rule_version,last_reviewed_at,status
UK,all,,canonical_name,Acrylonitrile,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Adonis vernalis L. and its preparations,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Adonis vernalis L. and its preparations,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,"Alkyne alcohols, their esters, ethers and salts",prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,"Alkyne alcohols, their esters, ethers and salts",prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Alloclamide,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Alloclamide,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Allyl isothiocyanate,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Allyl isothiocyanate,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Aminocaproic acid,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Aminocaproic acid,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Ammi majus L. and its galenical preparations,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Ammi majus L. and its galenical preparations,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Ammonia,max_concentration,6,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts).,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Ammonia,max_concentration,6,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts).,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Ammonium hydroxide,max_concentration,6,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts).,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Ammonium hydroxide,max_concentration,6,%,w/w,Max concentration rule (bootstrap from Annex III top-ranked list; conservative minimum across contexts).,,EU Annex III (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex III,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Aniline,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
UK,all,,canonical_name,Aniline,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
EU,all,,canonical_name,Anthracene oil,prohibited,,,,Prohibited ingredient (bootstrap live dataset from Annex II top-ranked list).,,EU Annex II (top-ranked bootstrap),https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,Annex II,2026-02-23,,2026.02.bootstrap.v1,2026-02-23,active
