Toy Safety Directive - Substances Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:15
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	
"Nickel acetate"	"239-086-1"	"14998-37-9"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel diarsenide"	"235-103-1"	"12068-61-0"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel selenate"	"239-125-2"	"15060-62-5"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dipotassium tris(cyano-C)nickelate(2-)"	"254-261-2"	"39049-81-5"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Trihydrogen hydroxybis[orthosilicato(4-)]trinickelate(3-)"	"235-688-3"	"12519-85-6"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"(butylamine)[[2,2'-thiobis[4-(1,1,3,3-tetramethylbutyl)phenolato]](2-)-O,O',S]nickel"	"238-523-3"	"14516-71-3"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Diammonium nickel bis(sulphate)"	"239-793-5"	"15699-18-0"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Octadecanoic acid, nickel salt"	"-"	"14448-69-2"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Hexaamminenickel(2+) bis[tetrafluoroborate(1-)]"	"237-638-6"	"13877-20-8"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel, [29H,31H-phthalocyaninato(2-)-[?]N29,[?]N30,[?]N31,[?]N32]-, sulfo [[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]sulfonyl derivs., sodium salts"	"603-528-5"	"131866-99-4"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dinickel boride"	"234-494-6"	"12007-01-1"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"[2,2'-[1,2-phenylenebis(nitrilomethylidyne)]-bis(phenolato)]-N,N',O,O'-nickel(II)"	"400-870-5"	"14406-71-4"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dysprosium, compound with nickel (1:2)"	"235-341-6"	"12175-27-8"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel chromate"	"238-766-5"	"14721-18-7"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel dioxide"	"234-823-3"	"12035-36-8"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Ethylenediaminetetraacetic Acid Disodium Nickel(II) Salt Hydrate"	"679-904-8"	"11079-07-5"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickelate(4-), [bis[[[3-[[4,5-dihydro-3-methyl-5-oxo-1-[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]-1H-pyrazol-4-yl]azo]phenyl]amino]sulfonyl]-29H,31H-phthalocyaninedisulfonato(6-)-N29,N30,N31,N32]-, sodium"	"291-679-4"	"90459-36-2"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel(2+) propionate"	"222-102-6"	"3349-08-4"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel(2+) neononanoate"	"300-094-6"	"93920-10-6"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Trisodium [[[[3-[(4-amino-6-chloro-1,3,5-triazin-2-yl)amino]phenyl]amino]sulphonyl]tris(aminosulphonyl)-29H,31H-phthalocyaninetrisulphonato(5-)-N29,N30,N31,N32]nickelate(3-)"	"276-491-2"	"72229-81-3"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Slags, ferronickel-manufg."	"273-729-7"	"69012-29-9"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel arsenide sulfide"	"-"	"12255-10-6"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dichromium nickel tetraoxide"	"234-636-7"	"12018-18-7"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel bis(phosphinate)"	"238-511-8"	"14507-36-9"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Copper, compound with lanthanum and nickel (4:1:1)"	"257-510-3"	"51912-52-8"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Bis(1-nitroso-2-naphtholato)nickel"	"235-829-9"	"12794-26-2"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Trisodium [5-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-4-hydroxy-3-[(2-hydroxy-3-nitro-5-sulphophenyl)azo]naphthalene-2,7-disulphonato(5-)]nickelate(3-)"	"279-314-7"	"79817-91-7"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel carbonate hydroxide tetrahydrate"	"641-002-7"	"39430-27-8"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel ammonium sulfate hexahydrate"	"680-452-9"	"7785-20-8"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Dichlorobis(tributylphosphine)nickel(II)"	"624-942-2"	"15274-43-8"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel difluoride"	"233-071-3"	"10028-18-9"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"(2-ethylhexanoato-O)(isooctanoato-O)nickel"	"284-350-1"	"84852-38-0"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Hydrogen [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']nickelate(1-)"	"252-235-5"	"34831-03-3"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel(2+) selenite"	"233-263-7"	"10101-96-9"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel, [29H,31H-phthalocyaninato(2-)-[?]N29,[?]N30,[?]N31,[?]N32]-, [[3-[(5-chloro-6-fluoro-4-pyrimidinyl)amino]phenyl]amino]sulfonyl sulfo derivs., sodium salts"	"603-857-4"	"134737-17-0"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Bis[(2-hydroxyethyl)dithiocarbamato-S,S']nickel"	"257-953-2"	"52486-98-3"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"phosphoric acid, calcium nickel salt"	"-"	"17169-61-8"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel diperchlorate"	"237-124-1"	"13637-71-3"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel tellurium trioxide"	"239-967-0"	"15851-52-2"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel dinitrate"	"236-068-5"	"13138-45-9"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Bis[2,3-bis(hydroxyimino)-N-phenylbutyramidato-N2,N3]nickel"	"249-503-9"	"29204-84-0"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel, borate neodecanoate complexes"	"296-343-0"	"92502-55-1"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Tetrasodium (c-(3-(1-(3-(e-6-dichloro-5-cyanopyrimidin-f-yl(methyl)amino)propyl)-1,6-dihydro-2-hydroxy-4-methyl-6-oxo-3-pyridylazo)-4-sulfonatophenylsulfamoyl)phthalocyanine-a,b,d-trisulfonato(6-))nickelato II, where a is 1 or 2 or 3 or 4,b is 8 or 9 or 10 or 11,c is 15 or 16 or 17 or 18, d is 22 or 23 or 24 or 25 and where e and f together are 2 and 4 or 4and 2 respectively"	"410-160-7"	"148732-74-5"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Zinc sulfide (ZnS), copper and nickel and silver-doped"	"272-277-8"	"68784-84-9"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Waste solids, nickel-manuf."	"293-799-2"	"91082-84-7"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel, acetate carbonate C8-10-branched fatty acids C9-11-neofatty acids complexes"	"291-673-1"	"90459-30-6"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Sulfuric acid, nickel(2+) salt (1:1), trihydrate"	"-"	"85017-75-0"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel(2+) octanoate"	"225-656-7"	"4995-91-9"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel [R(R*,R*)]-tartrate"	"257-610-7"	"52022-10-3"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Resin acids and Rosin acids, nickel salts"	"269-826-9"	"68334-36-1"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Bis(1H-1,2,4-triazole-3-sulphonato-N2,O3)nickel"	"287-849-2"	"85586-46-5"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Nickel bis(piperidine-1-carbodithioate)"	"255-387-0"	"41476-75-9"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
"Sulfuric acid, nickel(2+) salt (1:1), reaction products with nickel and nickel oxide (NiO)"	"-"	"68585-48-8"	"Nickel and its compounds"	""	"Liquid or sticky toy material"	"As Nickel"	""	""	"Banned if exceeded the migration limit (without prejudice to points 3, 4 and 5, Part III, Annex II)"	"18.8 mg/kg"	"Point 13, Part III, Annex IIThese limit values shall not apply to toys or components of toys which, due to their accessibility, function, volume or mass, clearly exclude any hazard due to sucking, licking, swallowing or prolonged contact with skin when used as specified in the first subparagraph of Article 10(2)"	
