Cosmetic Products Regulation, Annex V - Allowed Preservatives
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:50
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Product type, body parts"	"Function(s)"	"Restriction(s)"	"Maximum Threshold"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"25"	"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"Toothpaste"	"Preservative"	"Not to be used in toothpaste intended for children under 3 years of age"	"0.3 %"	""	""	"For toothpaste containing the substance the following labelling is obligatory: &#39;&#39;Not to be used for children under 3 years of age&#39;&#39;"	"Cosmetic products containing that substance that do not comply with the conditions may, provided that they comply with the conditions applicable on 23 April 2024, be placed on the Union market until 31 December 2024 and, if they have already been placed on the market before that date, continue to be made available on the Union market until 31 October 2025For use other than as a preservative, see Annex III, No. 100"	
"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"25"	"5-Chloro-2-(2,4-dichlorophenoxy) phenol"	"222-182-2"	"3380-34-5"	"Non-spray deodorants"	"Preservative"	"Not to be used in toothpaste intended for children under 3 years of age"	"0.3 %"	""	""	"For toothpaste containing the substance the following labelling is obligatory: &#39;&#39;Not to be used for children under 3 years of age&#39;&#39;"	"Cosmetic products containing that substance that do not comply with the conditions may, provided that they comply with the conditions applicable on 23 April 2024, be placed on the Union market until 31 December 2024 and, if they have already been placed on the market before that date, continue to be made available on the Union market until 31 October 2025For use other than as a preservative, see Annex III, No. 100"	
"5-Ethyl-3,7-dioxa-1-azabicyclo [3.3.0] octane"	"231-810-4"	"7747-35-5"	"49"	"5-Ethyl-3,7-dioxa-1-azabicyclo [3.3.0] octane"	"231-810-4"	"7747-35-5"	"All cosmetic products except oral products and products applied on mucous membranes"	"Preservative"	"Not to be used in oral products and in products applied on mucous membranes"	"0.3 %"	""	""	""	"All finished products containing substances which are listed in this Annex and which release formaldehyde shall be labelled with the warning &#39;&#39;releases formaldehyde&#39;&#39; where the total concentration of formaldehyde released in the finished product exceeds 0,001 % (10 ppm), irrespective of whether the finished product contains one or more substances releasing formaldehyde. However, all finished products containing substances referred to in the first subparagraph which comply with Regulation (EC) No 1223/2009 as applicable on 30 July 2022 may be placed on the Union market until 31 July 2024 and be made available on the Union market until 31 July 2026"	
"5-Pyrimidinamine, 1,3-bis (2-ethylhexyl) hexahydro-5-methyl-"	"205-513-5"	"141-94-6"	"19"	"5-Pyrimidinamine, 1,3-bis (2-ethylhexyl) hexahydro-5-methyl-"	"205-513-5"	"141-94-6"	"All cosmetic products"	"Preservative"	""	"0.1 %"	""	""	""	""	
"Alkyl (C 12-22) trimethyl ammonium bromide and chloride"	"-"	"-"	"44"	"Alkyl (C 12-22) trimethyl ammonium bromide and chloride"	""	""	"All cosmetic products"	"Preservative"	""	"0.1 %"	""	""	""	""	
"Ammonium benzoate"	"217-468-9"	"1863-63-4"	"1a"	"Ammonium benzoate"	"217-468-9"	"1863-63-4"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid&#39;"	"0.5 %"	""	"As acid"	""	""	
"Ammonium bisulfite"	"233-469-7"	"10192-30-0"	"9"	"Ammonium bisulfite"	"233-469-7"	"10192-30-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Inorganic sulphites and hydrogen sulphites&#39;"	"0.2 %"	""	"As free SO2"	""	"For use other than as a preservative, see Annex III, No. 99"	
"Ammonium propionate"	"241-503-7"	"17496-08-1"	"2"	"Ammonium propionate"	"241-503-7"	"17496-08-1"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Propionic acid and its salts&#39;"	"2 %"	""	"As acid"	""	""	
"Ammonium sulfite"	"233-484-9"	"10196-04-0"	"9"	"Ammonium sulfite"	"233-484-9"	"10196-04-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Inorganic sulphites and hydrogen sulphites&#39;"	"0.2 %"	""	"As free SO2"	""	"For use other than as a preservative, see Annex III, No. 99"	
"Behentrimonium chloride"	"241-327-0"	"17301-53-0"	"44"	"Behentrimonium chloride"	"241-327-0"	"17301-53-0"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Alkyl (C 12-22) trimethyl ammonium bromide and chloride&#39;"	"0.1 %"	""	""	""	"For use other than as a preservative, see Annex III, No 287"	
"Benzalkonium bromide"	"293-522-5"	"91080-29-4"	"54"	"Benzalkonium bromide"	"293-522-5"	"91080-29-4"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzalkonium chloride, bromide and saccharinate&#39;"	"0.1 %"	""	"As benzalkonium chloride"	"Avoid contact with eyes."	"For use other than as a preservative, see Annex III, No. 65"	
"Benzalkonium chloride"	"616-786-9"	"8001-54-5"	"54"	"Benzalkonium chloride"	""	"8001-54-5"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzalkonium chloride, bromide and saccharinate&#39;"	"0.1 %"	""	"As benzalkonium chloride"	"Avoid contact with eyes."	"For use other than as a preservative, see Annex III, No. 65"	
"Benzenecarboximidamide, 4,4'-(1,6-hexanediylbis (oxy))bis-"	"-"	"3811-75-4"	"47"	"Benzenecarboximidamide, 4,4&#39;-(1,6-hexanediylbis (oxy))bis-"	""	"3811-75-4"	"All cosmetic products"	"Preservative"	"Maximum concentration value is given for &#39;Benzenecarboximidamide, 4,4&#39;-(1,6-hexanediylbis (oxy))bis- and its salts&#39;"	"0.1 %"	""	""	""	""	
"Benzenemethanaminium, N,N-dimethyl-N-[2-[2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethoxy]ethyl]-, chloride"	"204-479-9"	"121-54-0"	"53"	"Benzenemethanaminium, N,N-dimethyl-N-[2-[2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]ethoxy]ethyl]-, chloride"	"204-479-9"	"121-54-0"	"Leave-on products other than oral products"	"Preservative"	""	"0.1 %"	""	""	""	""	
