Cosmetic Products Regulation, Annex VI - Allowed UV Filters
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:09:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Common Ingredients"	"Physical form"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Restriction(s)"	"Expressed As"	"Warning Label"	"Notes"	
"Benzoic acid, 4,4-((6-((4-(((1,1-dimethylethyl)amino)carbonyl)phenyl)amino)-1,3,5-triazine-2,4-diyl)diimino)bis-, bis (2-ethylhexyl) ester;Iscotrizinol (USAN)"	"421-450-8"	"154702-15-5"	"17"	"Benzoic acid, 4,4-((6-((4-(((1,1-dimethylethyl)amino)carbonyl)phenyl)amino)-1,3,5-triazine-2,4-diyl)diimino)bis-, bis (2-ethylhexyl) esterIscotrizinol (USAN)"	""	"154702-15-5"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	""	""	""	
"Bisdisulizole disodium (USAN);Sodium salt of 2,2'-bis(1,4-phenylene)-1H-benzimidazole-4,6-disulfonic acid"	"429-750-0"	"180898-37-7"	"24"	"Sodium salt of 2,2&#39;-bis(1,4-phenylene)-1H-benzimidazole-4,6-disulfonic acidBisdisulizole disodium (USAN)"	"429-750-0"	"180898-37-7"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	"As acid"	""	""	
"Dimethicodiethylbenzalmalonate"	"606-621-9"	"207574-74-1"	"26"	"Dimethicodiethylbenzalmalonate"	""	"207574-74-1"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	""	""	""	
"Ethoxylated ethyl-4-aminobenzoate"	"-"	"116242-27-4"	"13"	"Ethoxylated ethyl-4-aminobenzoate"	""	"116242-27-4"	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	""	""	""	
"N,N,N-Trimethyl-4-(2-oxoborn-3-ylidenemethyl) anilinium methyl sulfate"	"258-190-8"	"52793-97-2"	"2"	"N,N,N-Trimethyl-4-(2-oxoborn-3-ylidenemethyl) anilinium methyl sulfate"	"258-190-8"	"52793-97-2"	""	""	"All cosmetic products"	"UV Filter"	"6 %"	""	""	""	""	
"Phenol,2-(2H-benzotriazol-2-yl)-4-methyl-6-(2-methyl-3-(1,3,3,3-tetramethyl-1-((trimethylsilyl)oxy)-disiloxanyl)propyl)-"	"423-660-5"	"155633-54-8"	"16"	"Phenol,2-(2H-benzotriazol-2-yl)-4-methyl-6-(2-methyl-3-(1,3,3,3-tetramethyl-1-((trimethylsilyl)oxy)-disiloxanyl)propyl)-"	""	"155633-54-8"	""	""	"All cosmetic products"	"UV Filter"	"15 %"	""	""	""	""	
"Polymer of N-{(2 and 4)-[(2-oxoborn-3-ylidene)methyl-]benzyl} acrylamide"	"-"	"113783-61-2"	"11"	"Polymer of N-{(2 and 4)-[(2-oxoborn-3-ylidene)methyl-]benzyl} acrylamide"	""	"113783-61-2"	""	""	"All cosmetic products"	"UV Filter"	"6 %"	""	""	""	""	
"Rutile (TiO2)"	"215-282-2"	"1317-80-2"	"27"	"Rutile (TiO2)"	"215-282-2"	"1317-80-2"	""	""	"All cosmetic products"	"UV Filter"	"25 %"	"Titanium dioxide in powder form containing 1 % or more of particles with aerodynamic diameter ≤ 10 µm: (a) to be used in compliance with Annex III, No [321] (b) for cosmetic products other than face products in loose powder form and hair aerosol spray products the maximum concentration in ready for use preparation provided in column (g) of this entry applies"	""	""	"For use other than as a colorant, see Annex IV, No. 143In case of combined use of Titanium Dioxide and Titanium Dioxide (nano), the sum shall not exceed the limit given in column g"	
"Rutile (TiO2)"	"215-282-2"	"1317-80-2"	"27a"	"Rutile (TiO2)"	"215-282-2"	"1317-80-2"	""	"Nano"	"All cosmetic products"	"UV Filter"	"25 %"	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalationOnly nanomaterials having the following characteristics are allowed: - Purity ≥ 99 % - Rutile form, or rutile with up to 5 % anatase, with crystalline structure and physical appearance as clusters of spherical, needle, or lanceolate shapes - Median particle size based on number size distribution ≥ 30 nm - Aspect ratio from 1 to 4,5, and volume specific surface area ≤ 460 m2 /cm3 - Coated with Silica, Hydrated Silica, Alumina, Aluminium Hydroxide, Aluminium Stearate, Stearic Acid, Trimethoxycaprylylsilane, Glycerin, Dimethicone, Hydrogen Dimethicone, Simethicone or coated with one of the following combinations: - Silica at a maximum concentration of 16 % and Cetyl Phosphate at a maximum concentration of 6 %, - Alumina at a maximum concentration of 7 % and Manganese Dioxide at a maximum concentration of 0,7 % (not to be used in lip products), - Alumina at a maximum concentration of 3 % and Triethoxycaprylylsilane at a maximum concentration of 9 %, - Photocatalytic activity ≤ 10 % compared to corresponding non-coated or non-doped reference - Nanoparticles are photostable in the final formulation"	""	"For face products containing Titanium Dioxide (nano) coated with the combination Alumina and Manganese Dioxide: Not to be used on the lips."	"For use as a colorant, see Annex IV, No. 143In case of combined use of Titanium Dioxide and Titanium Dioxide (nano), the sum shall not exceed the limit given in column g"	
"Salts of 3,3'-(1,4-Phenylenedimethylene) bis(7,7-dimethyl-2-oxobicyclo-[2.2.1]hept-1-yl-methanesufonic acid)"	"-"	"-"	"7"	"Salts of 3,3&#39;-(1,4-Phenylenedimethylene) bis(7,7-dimethyl-2-oxobicyclo-[2.2.1]hept-1-yl-methanesufonic acid)"	""	""	""	""	"All cosmetic products"	"UV Filter"	"10 %"	""	"As acid"	""	""	
"Salts of alpha-(2-Oxoborn-3-ylidene)-toluene-4-sulphonic acid"	"-"	"-"	"9"	"Salts of alpha-(2-Oxoborn-3-ylidene)-toluene-4-sulphonic acid"	""	""	""	""	"All cosmetic products"	"UV Filter"	"6 %"	""	"As acid"	""	""	
"Titanium dioxide"	"236-675-5"	"13463-67-7"	"27"	"Titanium dioxide"	"236-675-5"	"13463-67-7"	""	""	"All cosmetic products"	"UV Filter"	"25 %"	"Titanium dioxide in powder form containing 1 % or more of particles with aerodynamic diameter ≤ 10 µm: (a) to be used in compliance with Annex III, No [321] (b) for cosmetic products other than face products in loose powder form and hair aerosol spray products the maximum concentration in ready for use preparation provided in column (g) of this entry applies"	""	""	"For use other than as a colorant, see Annex IV, No. 143In case of combined use of Titanium Dioxide and Titanium Dioxide (nano), the sum shall not exceed the limit given in column g"	
"Titanium dioxide"	"236-675-5"	"13463-67-7"	"27a"	"Titanium dioxide"	"236-675-5"	"13463-67-7"	""	"Nano"	"All cosmetic products"	"UV Filter"	"25 %"	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalationOnly nanomaterials having the following characteristics are allowed: - Purity ≥ 99 % - Rutile form, or rutile with up to 5 % anatase, with crystalline structure and physical appearance as clusters of spherical, needle, or lanceolate shapes - Median particle size based on number size distribution ≥ 30 nm - Aspect ratio from 1 to 4,5, and volume specific surface area ≤ 460 m2 /cm3 - Coated with Silica, Hydrated Silica, Alumina, Aluminium Hydroxide, Aluminium Stearate, Stearic Acid, Trimethoxycaprylylsilane, Glycerin, Dimethicone, Hydrogen Dimethicone, Simethicone or coated with one of the following combinations: - Silica at a maximum concentration of 16 % and Cetyl Phosphate at a maximum concentration of 6 %, - Alumina at a maximum concentration of 7 % and Manganese Dioxide at a maximum concentration of 0,7 % (not to be used in lip products), - Alumina at a maximum concentration of 3 % and Triethoxycaprylylsilane at a maximum concentration of 9 %, - Photocatalytic activity ≤ 10 % compared to corresponding non-coated or non-doped reference - Nanoparticles are photostable in the final formulation"	""	"For face products containing Titanium Dioxide (nano) coated with the combination Alumina and Manganese Dioxide: Not to be used on the lips."	"For use as a colorant, see Annex IV, No. 143In case of combined use of Titanium Dioxide and Titanium Dioxide (nano), the sum shall not exceed the limit given in column g"	
"Zinc oxide"	"215-222-5"	"1314-13-2"	"30"	"Zinc oxide"	"215-222-5"	"1314-13-2"	""	""	"All cosmetic products"	"UV Filter"	"25 %"	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalation"	""	""	"In case of combined use of zinc oxide and zinc oxide (nano), the sum shall not exceed the limit given in column g"	
"Zinc oxide"	"215-222-5"	"1314-13-2"	"30a"	"Zinc oxide"	"215-222-5"	"1314-13-2"	""	"Nano"	"All cosmetic products"	"UV Filter"	"25 %"	"Not to be used in applications that may lead to exposure of the end-user&#39;s lungs by inhalationOnly nanomaterials having the following characteristics are allowed: - Purity ≥ 96 %, with wurtzite crystalline structure and physical appearance as clusters that are rod-like, star-like and/or isometric shapes, with impurities consisting only of carbon dioxide and water, whilst any other impurities are less than 1 % in total - Median diameter of the particle number size distribution D50 (50 % of the number below this diameter) &gt; 30 nm and D1 (1 % below this size) &gt; 20 nm - Water solubility &lt; 50 mg/L - Uncoated, or coated with triethoxycaprylylsilane, dimethicone, dimethoxydiphenylsilanetriethoxycaprylylsilane cross-polymer, or octyl triethoxy silane"	""	""	"In case of combined use of zinc oxide and zinc oxide (nano), the sum shall not exceed the limit given in column g"	
