Annex II, Sec III - Allergenic Fragrances Banned/Restricted in Toys
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:10:32
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	
"Amylcinnamyl alcohol"	"202-982-8"	"101-85-9"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"101-85-9"	""	"Amylcinnamyl alcohol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Anisyl alcohol"	"203-273-6"	"105-13-5"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"105-13-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Anisyl alcohol"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Benzaldehyde"	"202-860-4"	"100-52-7"	"Any toys"	"100-52-7"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Benzaldehyde"	""	""	
"Benzyl alcohol"	"202-859-9"	"100-51-6"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"100-51-6"	""	"Benzyl alcohol"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Benzyl benzoate"	"204-402-9"	"120-51-4"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"120-51-4"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Benzyl benzoate"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Benzyl cinnamate"	"203-109-3"	"103-41-3"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"103-41-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"Benzyl cinnamate"	""	"See point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"Benzyl cyanide"	"205-410-5"	"140-29-4"	"Any toys"	"140-29-4"	""	"Benzyl cyanide"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kg"	
"Benzyl salicylate"	"204-262-9"	"118-58-1"	"Any toys except olfactory board games, cosmetic kits and gustative games"	"118-58-1"	""	"Benzyl salicylate"	"Banned"	"However, the presence of traces of these fragrances shall be allowed provided that such presence is technically unavoidable under good manufacturing practice and does not exceed 100 mg/kgSee point 12 of Part III on Chemical Properties to Annex II of Directive 2009/48/EC for specific conditions of use in olfactory board games, cosmetic kits and gustative games"	
"beta-Caryophyllene (ox.)"	"201-746-1"	"87-44-5"	"Any toys"	"87-44-5"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"beta-Caryophyllene (ox.)"	""	""	
"beta-Pinene"	"204-872-5"	"127-91-3"	"Any toys"	"127-91-3"	"The names of this allergenic fragrance shall be listed on the toy, on an affixed label, on the packaging or in an accompanying leaflet, if added to a toy, as such, at concentrations exceeding 100 mg/kg in the toy or components"	"beta-Pinene"	""	""	
