Detergents Regulation - Content Labelling
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:09:35
Header

"Substance Identifier"	""	



"1,2,3-Trifluorobenzene"	"625-446-9"	"1489-53-8"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2,3,4-tetrafluoro-5,6-diiodobenzene"	"220-303-3"	"2708-97-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-3-fluorobenzene"	"214-023-0"	"1073-06-9"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2-dibromo-4,5-difluorobenzene"	"265-021-1"	"64695-78-9"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1-bromo-2,4,5-trifluorobenzene"	"206-318-8"	"327-52-6"	"Halogenated hydrocarbons"	""	"0.2 %"	
"1,2-dichlorobenzene"	"202-425-9"	"95-50-1"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Chlorobenzene"	"203-628-5"	"108-90-7"	"Halogenated hydrocarbons"	""	"0.2 %"	
"Halogenated phenols"	"-"	"-"	"Halogenated phenols"	""	"0.2 %"	
"Non-ionic surfactants"	"-"	"-"	"Non-ionic surfactants"	""	"0.2 %"	
"NTA;nitrilotriacetic acid"	"205-355-7"	"139-13-9"	"nitrilotriacetic acidNTA"	"139-13-9"	"0.2 %"	
"Optical brighteners"	"-"	"-"	"Optical brighteners"	""	""	
"Oxygen-based bleaching agents"	"-"	"-"	"Oxygen-based bleaching agents"	""	"0.2 %"	
"Paradichlorobenzene"	"203-400-5"	"106-46-7"	"Paradichlorobenzene"	"106-46-7"	"0.2 %"	
"Perfumes"	"-"	"-"	"Perfumes"	""	""	
"Phenols"	"-"	"-"	"Phenols"	""	"0.2 %"	
"Phosphates"	"-"	"-"	"Phosphates"	""	"0.2 %"	
"Phosphonates"	"-"	"-"	"Phosphonates"	""	"0.2 %"	
"Polycarboxylates"	"-"	"-"	"Polycarboxylates"	""	"0.2 %"	
"Preservation agents"	"-"	"-"	"Preservation agents"	""	""	
"Salts of EDTA"	"-"	"-"	"Salts of EDTA"	""	"0.2 %"	
"Salts of NTA"	"-"	"-"	"Salts of NTA"	""	"0.2 %"	
"Soap"	"-"	"-"	"Soap"	""	"0.2 %"	
"Zeolites"	"215-283-8"	"1318-02-1"	"Zeolites"	"1318-02-1"	"0.2 %"	
