Cosmetic Products Regulation, Annex IV - Allowed Colorants
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:22
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Colour Index (CI) Number"	"Colour"	"Physical form"	"Product type, body parts"	"Restriction(s)"	"Maximum Threshold"	"Expressed As"	"Function(s)"	"Notes"	
"Salts and lakes of 4-((2,4-Dihydroxyphenyl)azo)benzenesulphonic acid"	"-"	"-"	"17"	"Salts and lakes of 4-((2,4-Dihydroxyphenyl)azo)benzenesulphonic acid"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 4-((4-Aminophenyl)(4-iminocyclohexa-2,5-dien-1-ylidene)methyl)-o-toluidine"	"-"	"-"	"66"	"Salts and lakes of 4-((4-Aminophenyl)(4-iminocyclohexa-2,5-dien-1-ylidene)methyl)-o-toluidine"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of 4-(Phenylazo)resorcinol"	"-"	"-"	"7"	"Salts and lakes of 4-(Phenylazo)resorcinol"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 4-[(2,5-Dichlorophenyl)azo]-N-(2,5-dimethoxyphenyl)-3-hydroxynaphthalene-2-carboxamide"	"-"	"-"	"13"	"Salts and lakes of 4-[(2,5-Dichlorophenyl)azo]-N-(2,5-dimethoxyphenyl)-3-hydroxynaphthalene-2-carboxamide"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 4-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-3-hydroxynaphthalene-1-sulphonic acid"	"-"	"-"	"153"	"Salts and lakes of 4-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-3-hydroxynaphthalene-1-sulphonic acid"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of 4-[(4-Ethoxyphenyl)azo]naphthol"	"-"	"-"	"8"	"Salts and lakes of 4-[(4-Ethoxyphenyl)azo]naphthol"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of 4-Aminoazobenzene-3,4'-disulphonic acid"	"-"	"-"	"16"	"Salts and lakes of 4-Aminoazobenzene-3,4&#39;-disulphonic acid"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 4-Hydroxy-3-((4-sulpho-1-naphthyl)azo)naphthalene-1-sulphonic acid"	"-"	"-"	"19"	"Salts and lakes of 4-Hydroxy-3-((4-sulpho-1-naphthyl)azo)naphthalene-1-sulphonic acid"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 122)"	""	""	"Colorant"	""	
"Salts and lakes of 5,12-Dihydro-2,9-dimethylquino[2,3-b]acridine-7,14-dione"	"-"	"-"	"103"	"Salts and lakes of 5,12-Dihydro-2,9-dimethylquino[2,3-b]acridine-7,14-dione"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 5,12-Dihydroquino[2,3-b]acridine-7,14-dione"	"-"	"-"	"102"	"Salts and lakes of 5,12-Dihydroquino[2,3-b]acridine-7,14-dione"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 5-(Acetylamino)-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonic acid"	"-"	"-"	"38"	"Salts and lakes of 5-(Acetylamino)-4-hydroxy-3-(phenylazo)naphthalene-2,7-disulphonic acid"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes; Purity criteria as set out in Commission Directive 95/45/EC (E 128)"	""	""	"Colorant"	""	
"Salts and lakes of 5-Chloro-2-(5-chloro-7-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-7-methylbenzo[b]thiophene-3(2H)-one"	"-"	"-"	"101"	"Salts and lakes of 5-Chloro-2-(5-chloro-7-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-7-methylbenzo[b]thiophene-3(2H)-one"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 6,15-Dihydroanthrazine-5,9,14,18-tetrone"	"-"	"-"	"95"	"Salts and lakes of 6,15-Dihydroanthrazine-5,9,14,18-tetrone"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 6-amino-4-hydroxy-3-[[7-sulphonato-4-[(4-sulphonatophenyl)azo]-1-naphthyl]azo]naphthalene-2,7-disulphonic acid"	"-"	"-"	"52"	"Salts and lakes of 6-amino-4-hydroxy-3-[[7-sulphonato-4-[(4-sulphonatophenyl)azo]-1-naphthyl]azo]naphthalene-2,7-disulphonic acid"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 6-Chloro-2-(6-chloro-4-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-4-methylbenzo[b]thiophene-3(2H)-one"	"-"	"-"	"100"	"Salts and lakes of 6-Chloro-2-(6-chloro-4-methyl-3-oxobenzo[b]thien-2(3H)-ylidene)-4-methylbenzo[b]thiophene-3(2H)-one"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 6-Hydroxy-5-((3-sulfophenyl)azo)-2-naphthalenesulfonic acid"	"-"	"-"	"30"	"Salts and lakes of 6-Hydroxy-5-((3-sulfophenyl)azo)-2-naphthalenesulfonic acid"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 7,16-dichloro-6,15-dihydroanthrazine-5,9,14,18-tetrone"	"-"	"-"	"96"	"Salts and lakes of 7,16-dichloro-6,15-dihydroanthrazine-5,9,14,18-tetrone"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of 8'-apo-β-Caroten-8'-al"	"-"	"-"	"56"	"Salts and lakes of 8&#39;-apo-β-Caroten-8&#39;-al"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160e)"	""	""	"Colorant"	""	
"Salts and lakes of 8,18-Dichloro-5,15-diethyl-5,15-dihydrodiindolo[3,2-b:3',2'-m]triphenodioxazine"	"-"	"-"	"85"	"Salts and lakes of 8,18-Dichloro-5,15-diethyl-5,15-dihydrodiindolo[3,2-b:3&#39;,2&#39;-m]triphenodioxazine"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of 8,8'-diapo-ψ,ψ-Carotenedioic acid"	"-"	"-"	"108"	"Salts and lakes of 8,8&#39;-diapo-ψ,ψ-Carotenedioic acid"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of [4-[[4-Anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene] cyclohexa-2,5-dien-1-ylidene]dimethylammonium"	"-"	"-"	"69"	"Salts and lakes of [4-[[4-Anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene] cyclohexa-2,5-dien-1-ylidene]dimethylammonium"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of Annatto"	"-"	"-"	"109"	"Salts and lakes of Annatto"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160b)"	""	""	"Colorant"	""	
"Salts and lakes of Beetroot red"	"-"	"-"	"148"	"Salts and lakes of Beetroot red"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 162)"	""	""	"Colorant"	""	
"Salts and lakes of Benzenemethanaminium, N-(4-((2,4-disulfophenyl)(4-(ethyl(phenylmethyl)amino)phenyl)methylene)-2,5-cyclohexadien-1-ylidene)-N-ethyl-"	"-"	"-"	"62"	"Salts and lakes of Benzenemethanaminium, N-(4-((2,4-disulfophenyl)(4-(ethyl(phenylmethyl)amino)phenyl)methylene)-2,5-cyclohexadien-1-ylidene)-N-ethyl-"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Benzenemethanaminium, N-(4-((4-(diethylamino)phenyl)(4-(ethyl((3-sulfophenyl)methyl)amino)-2-methylphenyl)methylene)-3-methyl-2,5-cyclohexadien-1-ylidene)-N-ethyl-3-sulfo-, inner salt"	"-"	"-"	"68"	"Salts and lakes of Benzenemethanaminium, N-(4-((4-(diethylamino)phenyl)(4-(ethyl((3-sulfophenyl)methyl)amino)-2-methylphenyl)methylene)-3-methyl-2,5-cyclohexadien-1-ylidene)-N-ethyl-3-sulfo-, inner salt"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of Benzenemethanaminium, N-ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino)phenyl)(2-sulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-3-sulfo-, inner salt"	"-"	"-"	"63"	"Salts and lakes of Benzenemethanaminium, N-ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino)phenyl)(2-sulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-3-sulfo-, inner salt"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 133)"	""	""	"Colorant"	""	
"Salts and lakes of Benzenesulfonic acid, 2,2'-((9,10-dihydro-9,10-dioxo-1,4-anthracenediyl)diimino)bis(5-methyl-"	"-"	"-"	"92"	"Salts and lakes of Benzenesulfonic acid, 2,2&#39;-((9,10-dihydro-9,10-dioxo-1,4-anthracenediyl)diimino)bis(5-methyl-"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-nitro-, disodium salt, reaction products with 4-[(4-aminophenyl)azo] benzenesulfonic acid"	"-"	"-"	"54"	"Salts and lakes of Benzenesulfonic acid, 2,2&#39;-(1,2-ethenediyl)bis[5-nitro-, disodium salt, reaction products with 4-[(4-aminophenyl)azo] benzenesulfonic acid"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Benzenesulfonic acid, 2,5-dichloro-4-(4,5-dihydro-3-methyl-5-oxo-4-((4-sulfophenyl)azo)-1H-pyrazol-1-yl)-"	"-"	"-"	"43"	"Salts and lakes of Benzenesulfonic acid, 2,5-dichloro-4-(4,5-dihydro-3-methyl-5-oxo-4-((4-sulfophenyl)azo)-1H-pyrazol-1-yl)-"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of Benzenesulfonic acid, 2-((9,10-dihydro-4-hydroxy-9,10-dioxo-1-anthracenyl)amino)-5-methyl-"	"-"	"-"	"90"	"Salts and lakes of Benzenesulfonic acid, 2-((9,10-dihydro-4-hydroxy-9,10-dioxo-1-anthracenyl)amino)-5-methyl-"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of Benzenesulfonic acid, 4-((2-hydroxy-1-naphthalenyl)azo)-2-methyl-"	"-"	"-"	"23"	"Salts and lakes of Benzenesulfonic acid, 4-((2-hydroxy-1-naphthalenyl)azo)-2-methyl-"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of Benzoic acid, 2-chloro-5-((2-hydroxy-1-naphthalenyl)azo)-4-sulfo-"	"-"	"-"	"22"	"Salts and lakes of Benzoic acid, 2-chloro-5-((2-hydroxy-1-naphthalenyl)azo)-4-sulfo-"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of beta Carotene"	"-"	"-"	"55"	"Salts and lakes of beta Carotene"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160a)"	""	""	"Colorant"	""	
"Salts and lakes of Bisbenzimidazo[2,1-b:2',1'-i]benzo[lmn][3,8]phenanthroline-8,17-dione"	"-"	"-"	"97"	"Salts and lakes of Bisbenzimidazo[2,1-b:2&#39;,1&#39;-i]benzo[lmn][3,8]phenanthroline-8,17-dione"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of Calcium 3-hydroxy-4-[(1-sulphonato-2-naphthyl)azo]-2-naphthoate"	"-"	"-"	"29"	"Salts and lakes of Calcium 3-hydroxy-4-[(1-sulphonato-2-naphthyl)azo]-2-naphthoate"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of Canthaxanthin"	"-"	"-"	"58"	"Salts and lakes of Canthaxanthin"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 161g)"	""	""	"Colorant"	""	
"Salts and lakes of Carminic acid"	"-"	"-"	"115"	"Salts and lakes of Carminic acid"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 120)"	""	""	"Colorant"	""	
"Salts and lakes of Chlorophyllins"	"-"	"-"	"116"	"Salts and lakes of Chlorophyllins"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 140, E 141)"	""	""	"Colorant"	""	
"Salts and lakes of Chlorophylls"	"-"	"-"	"116"	"Salts and lakes of Chlorophylls"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 140, E 141)"	""	""	"Colorant"	""	
"Salts and lakes of Curcumins"	"-"	"-"	"114"	"Salts and lakes of Curcumins"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 100)"	""	""	"Colorant"	""	
"Salts and lakes of Cyanidin"	"-"	"-"	"149"	"Salts and lakes of Cyanidin"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 163)"	""	""	"Colorant"	""	
"Salts and lakes of Delphinidin"	"-"	"-"	"149"	"Salts and lakes of Delphinidin"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 163)"	""	""	"Colorant"	""	
"Salts and lakes of Disodium [29H,31H-phthalocyaninedisulphonato (4-)-N29,N30,N31,N32] cuprate (2-)"	"-"	"-"	"106"	"Salts and lakes of Disodium [29H,31H-phthalocyaninedisulphonato (4-)-N29,N30,N31,N32] cuprate (2-)"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Disodium hydrogen bis[5-chloro-3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-2-hydroxybenzenesulphonato(3-)]chromate(3-)"	"-"	"-"	"41"	"Salts and lakes of Disodium hydrogen bis[5-chloro-3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-2-hydroxybenzenesulphonato(3-)]chromate(3-)"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Ethyl 8'-apo-β-caroten-8'-oate"	"-"	"-"	"57"	"Salts and lakes of Ethyl 8&#39;-apo-β-caroten-8&#39;-oate"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160f)"	""	""	"Colorant"	""	
"Salts and lakes of Ferrate(3-), tris(5,6-dihydro-5-(hydroxyimino-kappaN)-6-(oxo-kappaO)-2-naphthalenesulfonato(2-))-"	"-"	"-"	"2"	"Salts and lakes of Ferrate(3-), tris(5,6-dihydro-5-(hydroxyimino-kappaN)-6-(oxo-kappaO)-2-naphthalenesulfonato(2-))-"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of Flavin Mononucleotide"	"-"	"-"	"145"	"Salts and lakes of Flavin Mononucleotide"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 101)"	""	""	"Colorant"	""	
"Salts and lakes of Fluorescein"	"-"	"-"	"74"	"Salts and lakes of Fluorescein"	""	""	""	""	""	"All cosmetic products"	""	"6 %"	""	"Colorant"	""	
"Salts and lakes of Hydrogen (4-((4-(dimethylamino)phenyl)(2-hydroxy-3,6-disulphonato-1-naphthyl)methylene)cyclohexa-2,5-dien-1-ylidene)dimethylammonium"	"-"	"-"	"70"	"Salts and lakes of Hydrogen (4-((4-(dimethylamino)phenyl)(2-hydroxy-3,6-disulphonato-1-naphthyl)methylene)cyclohexa-2,5-dien-1-ylidene)dimethylammonium"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 142)"	""	""	"Colorant"	""	
"Salts and lakes of Hydrogen (4-(4-(diethylamino)-2',4'-disulphonatobenzhydrylidene)cyclohexa-2,5-dien-1-ylidene)diethylammonium"	"-"	"-"	"59"	"Salts and lakes of Hydrogen (4-(4-(diethylamino)-2&#39;,4&#39;-disulphonatobenzhydrylidene)cyclohexa-2,5-dien-1-ylidene)diethylammonium"	""	""	""	""	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Salts and lakes of Hydrogen 3,6-bis(diethylamino)-9-(2,4-disulphonatophenyl)xanthylium"	"-"	"-"	"71"	"Salts and lakes of Hydrogen 3,6-bis(diethylamino)-9-(2,4-disulphonatophenyl)xanthylium"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Hydrogen 9-(2,4-disulphonatophenyl)-3,6-bis(ethylamino)-2,7-dimethylxanthylium"	"-"	"-"	"73"	"Salts and lakes of Hydrogen 9-(2,4-disulphonatophenyl)-3,6-bis(ethylamino)-2,7-dimethylxanthylium"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Hydrogen 9-[(3-methoxyphenyl)amino]-7-phenyl-5-(phenylamino)-4,10-disulphonatobenzo[a]phenazinium"	"-"	"-"	"83"	"Salts and lakes of Hydrogen 9-[(3-methoxyphenyl)amino]-7-phenyl-5-(phenylamino)-4,10-disulphonatobenzo[a]phenazinium"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Hydrogen [4-[(2-chlorophenyl)[4-[ethyl (3-sulphonatobenzyl)amino]phenyl] methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium"	"-"	"-"	"64"	"Salts and lakes of Hydrogen [4-[(2-chlorophenyl)[4-[ethyl (3-sulphonatobenzyl)amino]phenyl] methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Hydrogen [4-[(2-chlorophenyl)[4-[ethyl(3-sulphonatobenzyl)amino]-o-tolyl]methylene]-3-methylcyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium"	"-"	"-"	"65"	"Salts and lakes of Hydrogen [4-[(2-chlorophenyl)[4-[ethyl(3-sulphonatobenzyl)amino]-o-tolyl]methylene]-3-methylcyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Hydrogen bis[2-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]benzoato(2-)]chromate(1-)"	"-"	"-"	"40"	"Salts and lakes of Hydrogen bis[2-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]benzoato(2-)]chromate(1-)"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Iron, tris(1-nitroso-2-naphthalenolato-O,O')-"	"-"	"-"	"1"	"Salts and lakes of Iron, tris(1-nitroso-2-naphthalenolato-O,O&#39;)-"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Lazurite"	"-"	"-"	"120"	"Salts and lakes of Lazurite"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of Lycopene"	"-"	"-"	"110"	"Salts and lakes of Lycopene"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160d)"	""	""	"Colorant"	""	
"Salts and lakes of Magnesate(3-), (18-carboxy-20-(carboxymethyl)-8-ethenyl-13-ethyl-2,3-dihydro-3,7,12,17-tetramethyl-21H,23H-porphine-2-propanoato(5-)-N(21),N(22),N(23),N(24))-, trihydrogen, (SP-4-2-(2S-trans))-"	"-"	"-"	"116"	"Salts and lakes of Magnesate(3-), (18-carboxy-20-(carboxymethyl)-8-ethenyl-13-ethyl-2,3-dihydro-3,7,12,17-tetramethyl-21H,23H-porphine-2-propanoato(5-)-N(21),N(22),N(23),N(24))-, trihydrogen, (SP-4-2-(2S-trans))-"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 140, E 141)"	""	""	"Colorant"	""	
"Salts and lakes of Malvidin"	"-"	"-"	"149"	"Salts and lakes of Malvidin"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 163)"	""	""	"Colorant"	""	
"Salts and lakes of Methyl (9-cis)-hydrogen-6,6'-diapo-psi,psi-carotenedioate"	"-"	"-"	"109"	"Salts and lakes of Methyl (9-cis)-hydrogen-6,6&#39;-diapo-psi,psi-carotenedioate"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160b)"	""	""	"Colorant"	""	
"Salts and lakes of N,N'-(3,3'-Dimethyl[1,1'-biphenyl]-4,4'-diyl)bis[2-[(2,4-dichlorophenyl)azo]-3-oxobutyramide]"	"-"	"-"	"45"	"Salts and lakes of N,N&#39;-(3,3&#39;-Dimethyl[1,1&#39;-biphenyl]-4,4&#39;-diyl)bis[2-[(2,4-dichlorophenyl)azo]-3-oxobutyramide]"	""	""	""	""	""	"Rinse-off products"	"Maximum 3,3&#39;-dimethylbenzidine concentration in the colouring agent is 5 ppm"	""	""	"Colorant"	""	
"Salts and lakes of N-(4-Chloro-2-methylphenyl)-4-[(4-chloro-2-methylphenyl)azo]-3-hydroxynaphthalene-2-carboxamide"	"-"	"-"	"12"	"Salts and lakes of N-(4-Chloro-2-methylphenyl)-4-[(4-chloro-2-methylphenyl)azo]-3-hydroxynaphthalene-2-carboxamide"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sulphonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carboxamide"	"-"	"-"	"14"	"Salts and lakes of N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sulphonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carboxamide"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of N-Ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino)phenyl)(4-hydroxy-2-sulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-3-sulfonatobenzenemethanaminium"	"-"	"-"	"61"	"Salts and lakes of N-Ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino)phenyl)(4-hydroxy-2-sulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-3-sulfonatobenzenemethanaminium"	""	""	""	""	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Salts and lakes of p-(4,5-Dihydro-3-methyl-5-oxo-4-(phenylazo)-1H-pyrazol-1-yl)benzenesulphonic acid"	"-"	"-"	"42"	"Salts and lakes of p-(4,5-Dihydro-3-methyl-5-oxo-4-(phenylazo)-1H-pyrazol-1-yl)benzenesulphonic acid"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Pelargonidin"	"-"	"-"	"149"	"Salts and lakes of Pelargonidin"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 163)"	""	""	"Colorant"	""	
"Salts and lakes of Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-3-methyl-,S,S-dioxide"	"-"	"-"	"152"	"Salts and lakes of Phenol, 4,4&#39;-(3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-3-methyl-,S,S-dioxide"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Phenol, 4,4'-(3H-2,1-benzoxathiol-3-ylidene)bis[2-bromo-3-methyl-6-(1-methylethyl)-, S,S-dioxide"	"-"	"-"	"151"	"Salts and lakes of Phenol, 4,4&#39;-(3H-2,1-benzoxathiol-3-ylidene)bis[2-bromo-3-methyl-6-(1-methylethyl)-, S,S-dioxide"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Polychloro copper phthalocyanine"	"-"	"-"	"107"	"Salts and lakes of Polychloro copper phthalocyanine"	""	""	""	""	""	"All cosmetic products except eye products"	"Not to be used in eye products"	""	""	"Colorant"	""	
"Salts and lakes of Riboflavin"	"-"	"-"	"145"	"Salts and lakes of Riboflavin"	""	""	""	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 101)"	""	""	"Colorant"	""	
"Salts and lakes of Sodium 3,3'-(9,10-dioxoanthracene-1,4-diyldiimino)bis(2,4,6-trimethylbenzenesulphonate)"	"-"	"-"	"93"	"Salts and lakes of Sodium 3,3&#39;-(9,10-dioxoanthracene-1,4-diyldiimino)bis(2,4,6-trimethylbenzenesulphonate)"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Salts and lakes of Xanthylium, 9-(2-carboxyphenyl)-3-((2-methylphenyl)amino)-6-((2-methyl-4-sulfophenyl)amino)-, inner salt"	"-"	"-"	"72"	"Salts and lakes of Xanthylium, 9-(2-carboxyphenyl)-3-((2-methylphenyl)amino)-6-((2-methyl-4-sulfophenyl)amino)-, inner salt"	""	""	""	""	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Silver"	"231-131-3"	"7440-22-4"	"142"	"Silver"	"231-131-3"	"7440-22-4"	"77820"	"White"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 174)"	""	""	"Colorant"	""	
"Sodium 1-amino-4-(cyclohexylamino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonate"	"224-460-9"	"4368-56-3"	"94"	"Sodium 1-amino-4-(cyclohexylamino)-9,10-dihydro-9,10-dioxoanthracene-2-sulphonate"	""	"4368-56-3"	"62045"	"Blue"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"Sodium 2-[(2-hydroxynaphthyl)azo]naphthale-nesulphonate"	"214-998-2"	"1248-18-6"	"25"	"Sodium 2-[(2-hydroxynaphthyl)azo]naphthale-nesulphonate"	""	"1248-18-6"	"15630"	"Red"	""	"All cosmetic products"	""	"3 %"	""	"Colorant"	""	
