Cosmetic Products Regulation, Annex IV - Allowed Colorants
Note: Group entries are split in different rows.
Export date: 23/02/2026 15:08:22
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	"Conditions"	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"EC Number"	"CAS"	"Colour Index (CI) Number"	"Colour"	"Physical form"	"Product type, body parts"	"Restriction(s)"	"Maximum Threshold"	"Expressed As"	"Function(s)"	"Notes"	
"Ammonium, (4-(alpha-(p-(diethylamino)phenyl)-2,4-disulfobenzylidene)-2,5-cyclohexadien-1-ylidene)diethyl-, hydroxide, monosodium salt"	"204-934-1"	"129-17-9"	"59"	"Ammonium, (4-(alpha-(p-(diethylamino)phenyl)-2,4-disulfobenzylidene)-2,5-cyclohexadien-1-ylidene)diethyl-, hydroxide, monosodium salt"	""	"129-17-9"	"42045"	"Blue"	""	"All cosmetic products except those applied to mucous membranes and when used as a substance in hair dye products"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Annatto"	"215-735-4"	"1393-63-1"	"109"	"Annatto"	"215-735-4"	"1393-63-1"	"75120"	"Orange"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160b)"	""	""	"Colorant"	""	
"Annatto tree, ext."	"289-561-2"	"89957-43-7"	"109"	"Annatto tree, ext."	"289-561-2"	"89957-43-7"	"75120"	""	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160b)"	""	""	"Colorant"	""	
"Barium bis[4-[(2-hydroxy-1-naphthyl)azo]-2-methylbenzenesul-phonate]"	"227-459-1"	"5850-87-3"	"23"	"Barium bis[4-[(2-hydroxy-1-naphthyl)azo]-2-methylbenzenesul-phonate]"	""	"5850-87-3"	"15580"	"Red"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Barium sulfate"	"231-784-4"	"7727-43-7"	"122"	"Barium sulfate"	""	"7727-43-7"	"77120"	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Beetroot red"	"231-628-5"	"7659-95-2"	"148"	"Beetroot red"	"231-628-5"	"7659-95-2"	""	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 162)"	""	""	"Colorant"	""	
"Benzene-methanaminium, N-ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino) phenyl)(2-sulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-3-sulfo-, hydroxide, inner salt, disodium salt"	"223-339-8"	"3844-45-9"	"63"	"Benzene-methanaminium, N-ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino) phenyl)(2-sulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-3-sulfo-, hydroxide, inner salt, disodium salt"	"223-339-8"	"3844-45-9"	"42090"	"Blue"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 133)"	""	""	"Colorant"	""	
"Benzene-methanaminium, N-ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino) phenyl)(4-hydroxy-2-sulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-3-sulfo-, hydroxide, inner salt, disodium salt"	"219-091-5"	"2353-45-9"	"61"	"Benzene-methanaminium, N-ethyl-N-(4-((4-(ethyl((3-sulfophenyl)methyl)amino) phenyl)(4-hydroxy-2-sulfophenyl)methylene)-2,5-cyclohexadien-1-ylidene)-3-sulfo-, hydroxide, inner salt, disodium salt"	""	"2353-45-9"	"42053"	"Green"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-nitro-, disodium salt, reaction products with 4-[(4-aminophenyl)azo] benzenesulfonic acid, sodium salts"	"215-397-8"	"1325-54-8"	"54"	"Benzenesulfonic acid, 2,2&#39;-(1,2-ethenediyl)bis[5-nitro-, disodium salt, reaction products with 4-[(4-aminophenyl)azo] benzenesulfonic acid, sodium salts"	""	"1325-54-8"	"40215"	"Orange"	""	"Rinse-off products"	""	""	""	"Colorant"	""	
"beta Carotene"	"230-636-6"	"7235-40-7"	"55"	"beta Carotene"	"230-636-6"	"7235-40-7"	"40800"	"Orange"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 160a)"	""	""	"Colorant"	""	
"Bisbenzimidazo[2,1-b:2',1'-i]benzo[lmn][3,8]phenanthroline-8,17-dione"	"224-597-4"	"4424-06-0"	"97"	"Bisbenzimidazo[2,1-b:2&#39;,1&#39;-i]benzo[lmn][3,8]phenanthroline-8,17-dione"	""	"4424-06-0"	"71105"	"Orange"	""	"All cosmetic products except those applied to mucous membranes"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Bismuth chloride oxide"	"232-122-7"	"7787-59-9"	"123"	"Bismuth chloride oxide"	""	"7787-59-9"	"77163"	"White"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
"Calcium 3-hydroxy-4-[(1-sulphonato-2-naphthyl)azo]-2-naphthoate"	"229-142-3"	"6417-83-0"	"29"	"Calcium 3-hydroxy-4-[(1-sulphonato-2-naphthyl)azo]-2-naphthoate"	""	"6417-83-0"	"15880"	"Red"	""	"All cosmetic products except when used as a substance in hair dye products"	""	""	""	"Colorant"	""	
"Calcium 3-Hydroxy-4-[(4-methyl-2-sulphonatophenyl)azo]-2-naphthoate"	"226-109-5"	"5281-04-9"	"27"	"Calcium 3-Hydroxy-4-[(4-methyl-2-sulphonatophenyl)azo]-2-naphthoate"	"226-109-5"	"5281-04-9"	"15850"	"Red"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 180)"	""	""	"Colorant"	""	
"Calcium bis[3-hydroxy-4-(phenylazo)-2-naphthoate]"	"228-899-7"	"6371-76-2"	"26"	"Calcium bis[3-hydroxy-4-(phenylazo)-2-naphthoate]"	""	"6371-76-2"	"15800"	"Red"	""	"All cosmetic products except those applied to mucous membranes and when used as a substance in hair dye products"	"Not to be used in products applied to mucous membranes"	""	""	"Colorant"	""	
"Calcium carbonate"	"207-439-9"	"471-34-1"	"124"	"Calcium carbonate"	"207-439-9"	"471-34-1"	"77220"	"White"	""	"All cosmetic products"	"Purity criteria as set out in Commission Directive 95/45/EC (E 170)"	""	""	"Colorant"	""	
"Calcium disodium bis[2-chloro-5-[(2-hydroxy-1-naphthyl)azo]-4-sulphonatobenzoate]"	"227-456-5"	"5850-80-6"	"22"	"Calcium disodium bis[2-chloro-5-[(2-hydroxy-1-naphthyl)azo]-4-sulphonatobenzoate]"	""	"5850-80-6"	"15525"	"Red"	""	"All cosmetic products"	""	""	""	"Colorant"	""	
